Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,1,0,,,0,1,8
4,1,2,22,8,TURNING_RIGHT,false,0,0,0,1,0,,,1,1,12
5,1,2,31,9,ACCELERATING,false,0,0,1,1,0,,,1,2,20
6,1,2,40,9,ACCELERATING,false,0,0,1,1,0,,,1,2,20
7,1,2,49,9,ACCELERATING,false,0,0,1,1,0,,,1,2,20
8,1,3,57,3,HIT_WALL,false,0,4,1,1,1,,,1,2,13
9,1,4,59,3,TURNING_RIGHT,false,0,4,1,1,1,,,1,2,13
10,1,4,62,3,ACCELERATING,false,0,4,1,1,1,,,1,2,13
11,1,4,65,3,ACCELERATING,false,0,4,1,1,1,,,1,2,13
12,1,4,68,3,ACCELERATING,false,0,4,1,1,1,,,1,2,13
